,ɯ,ɲ̊,nˠ̪,qʼ,dʒʲ,tʰ̪,ẽ,ə̟,t̪,lʲ,ɴ,dʱ̪,nʲ,ɬ,ɕʰ,ɓ,ʂ,ð,ɤ,oʰ,ɰ,dʲ,ɥ,ɜ,cʰ,sˁ,ɨ̥ᵝ,β,ɔˁ,ə,ʍ,l,vʲ,p͈,w,l̥,dz,ħ,ɲ,nʱ,o,β̞,ɻ,ʊ,ɯᵝ̟,z,ʒ,e̝,u,s̪,k̟,ɑ,ẽ̞,ɛ̃,i,ɖʰ,ŋ,t,fˠ,ʋ,ʏʰ,tɕʰ,tˁ,rˠ,w̃,ɵ,e,k,tˠ̪,ʏ̞,dˁ,dˠ̪,ʑ,ɯᵝ̟̊,mʷ,ɳ,a˞,ɔʰ,iˀ,ŋ̊,ɟ,c,tʼ,fʲ,tsʰ,i̥,dʒ,ʃ,ɪ,ɛ,ɰᵝ,ɸ,ɨ,ɪˀ,ʔ,lˠ̪,uʰ,ɦ,tsʲ,ɘ,ʉ,ɔ,tʰ,ũ,ɹ,aˁ,ŋ̟,õ̞,ĩ,ɵ̃,χ,ɔ̃,ɪ̞,ɓʷ,n,ɛˁ,ʃʰ,ɚ,ɟʝ,ʃʲ,əʱ,sʰ,pʼ,ɭ,tsʼ,ɻ̥,nˠ,bˠ,r̥,xʲ,ȵ,tɕ,ɾˠ,bʱ,y,d,ç,kʲ,ts̪,ʌ̹,g,aʰ,øʰ,o̞,tʰʲ,ɒ,pʲ,tʃʼ,ə̃,sˀ,rʲ,dʰ,ɕ͈,ɑ̃,ʕ,ɨˀ,lʷ,ɐ̃,xʷ,m̥,n̪ʲ,kʼ,ɗ,ǃʰ,ʌ,s,eˀ,kʰ,ɨ̞,ɮ,t͈,ǃ,s͈,ʈ,ɪʰ,o̝,r̝,tʲ,tʃ,ɣ,kʷ,ɽ,j̃,aˀ,ɧ,ɝ,ä,ǀʰ,f,k͈,ɠ,œ̃,tɕ͈,a,ǁʱ,mˠ,q,bʲ,ɣʲ,ɐ,gʲ,m,õ,ɫ,sˠ,z̟,æ,ʈʰ,ɾ,tˀ,d̪,ɢ,ʎ,ʁ,wᵝ,tʃʰ,ɑ̟,uˀ,ã,ỹ,h,ɕ,vˠ,ũʱ,ʏ,ɱ,ɛʰ,ɮʲ,nˀ,jˀ,ʊ̞,ɸʷ,gʱ,ðˁ,n̪,qʰ,θ,ʋʲ,iʱ,b,mʱ,ø,ɹ̥,r,ʝ,tʃʲ,dʑ,sʲ,zʲ,x,pˠ,œ,ɺ̢,j,p,r̝̊,ãʱ,pʰ,tsʷ,gʷ,v,kʰʲ,dʒʱ,mʲ,ɖ,ʐ,e̞,tsʷʰ,ʀ,n̥,əˀ,ɾʲ,l̪,ʒʲ,ts
ʒ,8.0,10.0,10.0,18.0,4.0,14.0,12.0,12.0,10.0,12.0,10.0,11.0,9.0,11.0,13.0,14.0,5.0,4.0,10.0,16.0,6.0,8.0,9.0,10.0,13.0,7.0,13.0,5.0,14.0,10.0,12.0,10.0,6.0,14.0,9.0,13.0,4.0,10.0,7.0,11.0,12.0,7.0,5.0,13.0,12.0,2.0,0.0,8.0,10.0,6.0,10.0,11.0,12.0,12.0,7.0,10.0,8.0,9.0,9.0,6.0,17.0,15.0,11.0,7.0,12.0,12.0,9.0,10.0,12.0,14.0,8.0,9.0,6.0,15.0,13.0,7.0,12.0,16.0,9.0,11.0,6.0,9.0,15.0,9.0,11.0,10.0,2.0,3.0,11.0,9.0,8.0,8.0,8.0,13.0,10.0,13.0,14.0,4.0,9.0,10.0,10.0,12.0,13.0,13.0,5.0,12.0,8.0,15.0,10.0,15.0,9.0,15.0,12.0,18.0,7.0,11.0,7.0,12.0,5.0,5.0,14.0,9.0,17.0,10.0,13.0,8.0,9.0,10.0,8.0,9.0,11.0,11.0,6.0,12.0,9.0,6.0,6.0,12.0,8.0,11.0,7.0,14.0,15.0,12.0,15.0,13.0,13.0,11.0,13.0,7.0,7.0,10.0,12.0,14.0,7.0,10.0,14.0,14.0,11.0,12.0,10.0,16.0,12.0,25.0,10.0,5.0,11.0,14.0,6.0,8.0,12.0,21.0,8.0,9.0,15.0,11.0,3.0,11.0,5.0,4.0,14.0,4.0,8.0,12.0,7.0,12.0,11.0,26.0,7.0,13.0,13.0,14.0,14.0,10.0,27.0,11.0,12.0,10.0,6.0,11.0,9.0,9.0,15.0,12.0,7.0,3.0,10.0,13.0,4.0,11.0,7.0,9.0,10.0,6.0,11.0,9.0,13.0,12.0,13.0,12.0,7.0,9.0,6.0,17.0,13.0,8.0,13.0,10.0,9.0,7.0,14.0,12.0,11.0,6.0,8.0,16.0,7.0,8.0,11.0,8.0,13.0,11.0,8.0,5.0,3.0,7.0,8.0,7.0,4.0,7.0,13.0,11.0,9.0,5.0,11.0,6.0,17.0,15.0,11.0,11.0,4.0,16.0,6.0,11.0,6.0,2.0,9.0,15.0,8.0,10.0,12.0,6.0,11.0,2.0,7.0
e̝,3.0,8.0,12.0,22.0,12.0,21.0,4.0,5.0,17.0,13.0,9.0,18.0,10.0,17.0,17.0,20.0,13.0,10.0,3.0,9.0,5.0,14.0,8.0,4.0,16.0,15.0,7.0,10.0,9.0,3.0,13.0,12.0,10.0,20.0,10.0,15.0,12.0,14.0,5.0,13.0,5.0,8.0,7.0,5.0,6.0,10.0,8.0,0.0,5.0,14.0,13.0,7.0,5.0,6.0,1.0,17.0,7.0,16.0,15.0,8.0,9.0,19.0,18.0,12.0,13.0,4.0,1.0,14.0,19.0,6.0,15.0,16.0,10.0,9.0,14.0,9.0,7.0,11.0,3.0,10.0,9.0,12.0,22.0,13.0,19.0,4.0,10.0,11.0,3.0,3.0,7.0,13.0,2.0,5.0,14.0,15.0,9.0,7.0,16.0,2.0,4.0,7.0,20.0,8.0,7.0,7.0,6.0,9.0,4.0,7.0,12.0,10.0,4.0,24.0,9.0,5.0,15.0,5.0,7.0,13.0,7.0,17.0,23.0,12.0,21.0,10.0,11.0,16.0,13.0,12.0,9.0,15.0,12.0,18.0,3.0,13.0,8.0,16.0,16.0,6.0,11.0,9.0,7.0,6.0,21.0,9.0,17.0,19.0,6.0,15.0,11.0,17.0,16.0,10.0,11.0,4.0,16.0,8.0,14.0,13.0,10.0,20.0,19.0,32.0,5.0,13.0,3.0,18.0,4.0,14.0,19.0,28.0,16.0,16.0,7.0,4.0,9.0,17.0,13.0,7.0,18.0,10.0,6.0,7.0,15.0,6.0,6.0,33.0,13.0,17.0,17.0,8.0,18.0,5.0,34.0,12.0,16.0,14.0,9.0,5.0,13.0,10.0,8.0,14.0,15.0,11.0,4.0,20.0,10.0,18.0,14.0,13.0,8.0,9.0,12.0,17.0,8.0,7.0,8.0,6.0,10.0,13.0,12.0,12.0,5.0,10.0,7.0,15.0,11.0,5.0,6.0,17.0,15.0,12.0,10.0,20.0,13.0,8.0,5.0,14.0,14.0,3.0,10.0,10.0,5.0,15.0,12.0,14.0,11.0,10.0,19.0,5.0,15.0,3.0,17.0,12.0,12.0,21.0,19.0,15.0,10.0,20.0,14.0,10.0,13.0,10.0,2.0,23.0,10.0,12.0,5.0,11.0,13.0,10.0,15.0
u,2.0,11.0,11.0,21.0,14.0,21.0,9.0,8.0,17.0,14.0,8.0,18.0,11.0,17.0,20.0,19.0,13.0,10.0,4.0,6.0,4.0,15.0,9.0,7.0,19.0,15.0,4.0,9.0,6.0,6.0,7.0,12.0,12.0,19.0,4.0,15.0,12.0,13.0,8.0,13.0,2.0,7.0,7.0,4.0,3.0,10.0,10.0,5.0,0.0,14.0,14.0,8.0,10.0,11.0,4.0,17.0,6.0,16.0,10.0,8.0,8.0,22.0,18.0,12.0,7.0,3.0,6.0,13.0,18.0,5.0,15.0,15.0,13.0,6.0,9.0,9.0,12.0,8.0,6.0,9.0,12.0,15.0,22.0,15.0,19.0,7.0,12.0,13.0,6.0,8.0,2.0,12.0,3.0,8.0,15.0,14.0,4.0,8.0,17.0,5.0,1.0,4.0,20.0,3.0,7.0,12.0,7.0,6.0,7.0,6.0,11.0,7.0,7.0,19.0,9.0,10.0,17.0,8.0,10.0,15.0,10.0,17.0,22.0,12.0,21.0,10.0,11.0,10.0,13.0,11.0,12.0,18.0,12.0,17.0,2.0,13.0,11.0,15.0,16.0,5.0,10.0,14.0,8.0,3.0,22.0,6.0,18.0,21.0,9.0,15.0,12.0,17.0,19.0,11.0,10.0,5.0,12.0,11.0,9.0,12.0,12.0,19.0,19.0,32.0,6.0,13.0,8.0,17.0,5.0,14.0,19.0,28.0,16.0,16.0,10.0,1.0,9.0,18.0,15.0,6.0,13.0,10.0,9.0,12.0,14.0,9.0,9.0,33.0,13.0,16.0,16.0,9.0,21.0,10.0,34.0,6.0,15.0,15.0,8.0,8.0,12.0,9.0,5.0,14.0,15.0,11.0,9.0,20.0,10.0,18.0,14.0,12.0,11.0,8.0,7.0,19.0,11.0,2.0,13.0,5.0,11.0,16.0,7.0,7.0,4.0,10.0,12.0,16.0,11.0,8.0,5.0,12.0,14.0,12.0,10.0,19.0,13.0,10.0,8.0,13.0,13.0,4.0,10.0,10.0,8.0,17.0,15.0,15.0,12.0,9.0,13.0,6.0,15.0,6.0,16.0,12.0,17.0,20.0,15.0,10.0,10.0,19.0,16.0,11.0,13.0,10.0,7.0,19.0,9.0,12.0,8.0,12.0,13.0,12.0,15.0
s̪,12.0,10.0,10.0,15.0,10.0,8.0,18.0,17.0,4.0,14.0,13.0,11.0,11.0,7.0,9.0,15.0,5.0,4.0,14.0,20.0,10.0,10.0,10.0,15.0,13.0,3.0,12.0,6.0,18.0,15.0,7.0,12.0,7.0,9.0,10.0,9.0,6.0,7.0,13.0,13.0,16.0,8.0,11.0,18.0,17.0,4.0,6.0,14.0,14.0,0.0,9.0,15.0,18.0,18.0,13.0,16.0,12.0,5.0,4.0,7.0,22.0,11.0,7.0,9.0,13.0,17.0,15.0,8.0,6.0,19.0,10.0,9.0,8.0,14.0,14.0,13.0,18.0,20.0,15.0,9.0,12.0,9.0,11.0,4.0,7.0,10.0,8.0,3.0,16.0,15.0,12.0,3.0,13.0,18.0,7.0,13.0,18.0,7.0,5.0,15.0,15.0,16.0,9.0,17.0,7.0,18.0,13.0,19.0,16.0,20.0,6.0,19.0,17.0,19.0,9.0,17.0,7.0,17.0,11.0,5.0,19.0,5.0,12.0,16.0,9.0,8.0,11.0,11.0,4.0,7.0,13.0,7.0,8.0,13.0,15.0,8.0,6.0,10.0,2.0,15.0,11.0,20.0,21.0,16.0,11.0,17.0,8.0,11.0,18.0,3.0,9.0,12.0,8.0,18.0,10.0,15.0,16.0,19.0,9.0,7.0,10.0,14.0,14.0,21.0,14.0,1.0,17.0,12.0,11.0,10.0,8.0,17.0,4.0,9.0,20.0,15.0,5.0,7.0,5.0,8.0,12.0,10.0,14.0,18.0,7.0,17.0,16.0,20.0,2.0,11.0,17.0,20.0,10.0,16.0,29.0,12.0,9.0,11.0,10.0,16.0,13.0,10.0,19.0,14.0,3.0,3.0,16.0,13.0,6.0,7.0,7.0,12.0,16.0,9.0,12.0,9.0,18.0,16.0,19.0,18.0,4.0,5.0,7.0,21.0,18.0,9.0,19.0,12.0,11.0,13.0,19.0,7.0,15.0,6.0,8.0,13.0,1.0,9.0,17.0,9.0,14.0,17.0,4.0,7.0,9.0,7.0,10.0,3.0,6.0,5.0,8.0,17.0,15.0,11.0,6.0,2.0,23.0,10.0,7.0,15.0,5.0,14.0,12.0,12.0,12.0,8.0,15.0,11.0,11.0,6.0,17.0,8.0,11.0,8.0,3.0
k̟,12.0,4.0,13.0,9.0,10.0,9.0,13.0,14.0,5.0,20.0,9.0,12.0,12.0,13.0,13.0,13.0,8.0,12.0,13.0,19.0,10.0,9.0,15.0,12.0,5.0,10.0,10.0,11.0,17.0,12.0,12.0,18.0,13.0,7.0,15.0,15.0,9.0,9.0,7.0,14.0,15.0,13.0,13.0,16.0,15.0,11.0,10.0,13.0,14.0,9.0,0.0,14.0,13.0,13.0,12.0,11.0,7.0,4.0,11.0,14.0,20.0,11.0,6.0,14.0,16.0,14.0,13.0,1.0,7.0,16.0,9.0,10.0,12.0,12.0,14.0,10.0,16.0,19.0,14.0,4.0,4.0,1.0,10.0,10.0,10.0,9.0,8.0,7.0,14.0,13.0,12.0,8.0,11.0,16.0,2.0,21.0,18.0,9.0,8.0,12.0,13.0,15.0,8.0,16.0,13.0,16.0,6.0,15.0,14.0,14.0,7.0,15.0,14.0,17.0,10.0,15.0,11.0,14.0,6.0,9.0,16.0,12.0,10.0,18.0,12.0,10.0,12.0,9.0,9.0,7.0,11.0,7.0,13.0,11.0,14.0,7.0,5.0,3.0,7.0,14.0,4.0,18.0,19.0,15.0,10.0,16.0,6.0,11.0,12.0,10.0,14.0,11.0,12.0,14.0,12.0,13.0,22.0,13.0,9.0,7.0,12.0,7.0,13.0,20.0,13.0,8.0,15.0,5.0,9.0,16.0,7.0,16.0,11.0,4.0,18.0,15.0,11.0,6.0,5.0,8.0,5.0,11.0,11.0,16.0,9.0,14.0,13.0,21.0,9.0,4.0,10.0,15.0,10.0,14.0,28.0,12.0,3.0,9.0,10.0,13.0,6.0,10.0,15.0,20.0,10.0,12.0,14.0,8.0,11.0,6.0,8.0,6.0,15.0,10.0,17.0,9.0,15.0,16.0,14.0,16.0,6.0,9.0,14.0,20.0,16.0,11.0,17.0,18.0,12.0,12.0,16.0,12.0,8.0,14.0,11.0,7.0,9.0,15.0,16.0,7.0,14.0,15.0,10.0,12.0,8.0,7.0,10.0,10.0,13.0,5.0,6.0,15.0,16.0,10.0,4.0,8.0,18.0,8.0,10.0,8.0,12.0,7.0,12.0,12.0,7.0,11.0,13.0,14.0,11.0,7.0,14.0,13.0,19.0,12.0,6.0
ɑ,6.0,13.0,13.0,21.0,15.0,21.0,9.0,6.0,17.0,17.0,10.0,18.0,13.0,19.0,21.0,19.0,14.0,12.0,4.0,10.0,7.0,15.0,12.0,3.0,19.0,16.0,12.0,11.0,6.0,4.0,15.0,15.0,14.0,19.0,12.0,18.0,13.0,15.0,10.0,15.0,6.0,10.0,10.0,10.0,11.0,11.0,11.0,7.0,8.0,15.0,14.0,0.0,8.0,7.0,8.0,17.0,8.0,16.0,16.0,11.0,14.0,23.0,18.0,13.0,15.0,7.0,6.0,13.0,18.0,9.0,15.0,15.0,14.0,14.0,15.0,11.0,4.0,8.0,10.0,11.0,12.0,15.0,22.0,17.0,20.0,11.0,13.0,14.0,8.0,4.0,9.0,14.0,7.0,10.0,15.0,17.0,12.0,10.0,18.0,5.0,9.0,4.0,20.0,11.0,10.0,4.0,9.0,8.0,11.0,10.0,13.0,7.0,7.0,23.0,11.0,6.0,18.0,6.0,12.0,16.0,8.0,18.0,22.0,15.0,22.0,13.0,13.0,15.0,14.0,13.0,14.0,19.0,13.0,17.0,10.0,13.0,13.0,15.0,17.0,3.0,10.0,6.0,12.0,5.0,22.0,2.0,18.0,22.0,7.0,16.0,13.0,17.0,20.0,3.0,12.0,9.0,19.0,5.0,15.0,14.0,14.0,19.0,19.0,32.0,2.0,14.0,8.0,17.0,8.0,16.0,19.0,28.0,17.0,16.0,12.0,7.0,11.0,18.0,16.0,8.0,17.0,11.0,12.0,4.0,15.0,5.0,1.0,33.0,15.0,16.0,16.0,9.0,22.0,2.0,34.0,13.0,15.0,15.0,10.0,2.0,12.0,11.0,9.0,17.0,16.0,12.0,3.0,20.0,11.0,18.0,14.0,12.0,14.0,10.0,14.0,20.0,3.0,10.0,5.0,13.0,13.0,17.0,13.0,15.0,10.0,12.0,8.0,18.0,13.0,11.0,9.0,18.0,14.0,14.0,12.0,19.0,15.0,13.0,12.0,13.0,15.0,8.0,13.0,11.0,10.0,18.0,16.0,16.0,13.0,11.0,18.0,6.0,16.0,9.0,16.0,14.0,9.0,20.0,20.0,14.0,12.0,19.0,17.0,13.0,13.0,11.0,5.0,24.0,10.0,14.0,6.0,13.0,16.0,13.0,16.0
ẽ̞,8.0,9.0,13.0,22.0,15.0,21.0,1.0,6.0,17.0,18.0,10.0,18.0,11.0,22.0,21.0,20.0,17.0,15.0,6.0,12.0,10.0,14.0,13.0,5.0,16.0,19.0,12.0,15.0,10.0,4.0,18.0,17.0,15.0,20.0,15.0,20.0,15.0,19.0,6.0,14.0,8.0,13.0,12.0,10.0,11.0,14.0,12.0,5.0,10.0,18.0,13.0,8.0,0.0,1.0,6.0,17.0,8.0,16.0,20.0,13.0,14.0,22.0,18.0,16.0,12.0,7.0,4.0,14.0,19.0,9.0,15.0,16.0,14.0,14.0,15.0,10.0,8.0,12.0,8.0,11.0,9.0,12.0,22.0,18.0,22.0,9.0,13.0,15.0,8.0,4.0,12.0,18.0,7.0,10.0,14.0,20.0,14.0,12.0,19.0,5.0,9.0,8.0,20.0,7.0,12.0,8.0,7.0,4.0,3.0,4.0,17.0,5.0,7.0,24.0,10.0,6.0,19.0,6.0,11.0,17.0,8.0,21.0,23.0,17.0,24.0,15.0,12.0,16.0,17.0,17.0,10.0,18.0,15.0,18.0,8.0,13.0,13.0,16.0,19.0,7.0,11.0,10.0,10.0,7.0,21.0,10.0,17.0,22.0,1.0,19.0,15.0,17.0,20.0,5.0,16.0,9.0,21.0,3.0,19.0,14.0,11.0,20.0,19.0,32.0,6.0,17.0,6.0,18.0,9.0,19.0,19.0,28.0,20.0,16.0,12.0,9.0,14.0,17.0,16.0,12.0,18.0,13.0,5.0,8.0,19.0,7.0,7.0,33.0,18.0,17.0,17.0,3.0,21.0,6.0,34.0,13.0,16.0,14.0,14.0,6.0,13.0,11.0,5.0,19.0,19.0,15.0,5.0,20.0,13.0,18.0,14.0,13.0,13.0,14.0,17.0,20.0,9.0,12.0,3.0,5.0,15.0,17.0,17.0,11.0,10.0,11.0,8.0,20.0,12.0,10.0,9.0,22.0,15.0,17.0,11.0,20.0,18.0,13.0,10.0,14.0,15.0,6.0,15.0,14.0,10.0,18.0,15.0,18.0,15.0,15.0,19.0,6.0,18.0,8.0,17.0,17.0,7.0,21.0,22.0,15.0,15.0,20.0,17.0,11.0,13.0,14.0,3.0,26.0,14.0,13.0,6.0,14.0,18.0,14.0,18.0
ɛ̃,9.0,9.0,13.0,22.0,15.0,21.0,2.0,7.0,17.0,18.0,10.0,18.0,11.0,22.0,21.0,20.0,17.0,15.0,7.0,13.0,10.0,14.0,13.0,4.0,16.0,19.0,13.0,15.0,9.0,5.0,18.0,17.0,15.0,20.0,15.0,20.0,15.0,19.0,6.0,14.0,9.0,13.0,12.0,11.0,12.0,14.0,12.0,6.0,11.0,18.0,13.0,7.0,1.0,0.0,7.0,17.0,8.0,16.0,20.0,13.0,15.0,22.0,18.0,16.0,13.0,8.0,5.0,14.0,19.0,10.0,15.0,16.0,14.0,15.0,15.0,10.0,7.0,11.0,9.0,11.0,9.0,12.0,22.0,18.0,22.0,10.0,13.0,15.0,9.0,3.0,12.0,18.0,8.0,11.0,14.0,20.0,15.0,12.0,19.0,6.0,10.0,7.0,20.0,8.0,12.0,7.0,7.0,5.0,4.0,5.0,17.0,4.0,8.0,24.0,10.0,5.0,19.0,7.0,11.0,17.0,9.0,21.0,23.0,17.0,24.0,15.0,12.0,16.0,17.0,17.0,10.0,18.0,15.0,18.0,9.0,13.0,13.0,16.0,19.0,6.0,11.0,9.0,11.0,8.0,21.0,9.0,17.0,22.0,2.0,19.0,15.0,17.0,20.0,4.0,16.0,10.0,21.0,2.0,19.0,14.0,11.0,20.0,19.0,32.0,5.0,17.0,7.0,18.0,9.0,19.0,19.0,28.0,20.0,16.0,13.0,10.0,14.0,17.0,16.0,12.0,18.0,13.0,6.0,7.0,19.0,6.0,6.0,33.0,18.0,17.0,17.0,2.0,21.0,5.0,34.0,13.0,16.0,14.0,14.0,5.0,13.0,11.0,6.0,19.0,19.0,15.0,4.0,20.0,13.0,18.0,14.0,13.0,13.0,14.0,17.0,20.0,8.0,13.0,2.0,6.0,15.0,17.0,17.0,12.0,11.0,11.0,7.0,20.0,12.0,10.0,10.0,22.0,15.0,17.0,11.0,20.0,18.0,13.0,11.0,14.0,15.0,7.0,15.0,14.0,10.0,18.0,15.0,18.0,15.0,15.0,19.0,5.0,18.0,8.0,17.0,17.0,6.0,21.0,22.0,15.0,15.0,20.0,17.0,11.0,13.0,14.0,4.0,26.0,14.0,13.0,7.0,14.0,18.0,14.0,18.0
i,2.0,7.0,11.0,21.0,11.0,20.0,5.0,6.0,16.0,12.0,8.0,17.0,9.0,16.0,16.0,19.0,12.0,9.0,4.0,10.0,4.0,13.0,7.0,5.0,15.0,14.0,6.0,9.0,10.0,4.0,12.0,11.0,9.0,19.0,9.0,14.0,11.0,13.0,4.0,12.0,6.0,7.0,6.0,6.0,5.0,9.0,7.0,1.0,4.0,13.0,12.0,8.0,6.0,7.0,0.0,16.0,6.0,15.0,14.0,7.0,10.0,18.0,17.0,11.0,12.0,5.0,2.0,13.0,18.0,7.0,14.0,15.0,9.0,8.0,13.0,8.0,8.0,12.0,2.0,9.0,8.0,11.0,21.0,12.0,18.0,3.0,9.0,10.0,4.0,4.0,6.0,12.0,1.0,6.0,13.0,14.0,8.0,6.0,15.0,3.0,3.0,8.0,19.0,7.0,6.0,8.0,5.0,10.0,3.0,8.0,11.0,11.0,5.0,23.0,8.0,6.0,14.0,6.0,6.0,12.0,8.0,16.0,22.0,11.0,20.0,9.0,10.0,15.0,12.0,11.0,8.0,14.0,11.0,17.0,2.0,12.0,7.0,15.0,15.0,7.0,10.0,10.0,8.0,7.0,20.0,10.0,16.0,18.0,7.0,14.0,10.0,16.0,15.0,11.0,10.0,3.0,15.0,9.0,13.0,12.0,9.0,19.0,18.0,31.0,6.0,12.0,4.0,17.0,3.0,13.0,18.0,27.0,15.0,15.0,8.0,5.0,8.0,16.0,12.0,6.0,17.0,9.0,5.0,8.0,14.0,7.0,7.0,32.0,12.0,16.0,16.0,9.0,17.0,6.0,33.0,11.0,15.0,13.0,8.0,6.0,12.0,9.0,9.0,13.0,14.0,10.0,5.0,19.0,9.0,17.0,13.0,12.0,7.0,8.0,11.0,16.0,9.0,6.0,9.0,5.0,9.0,12.0,11.0,11.0,6.0,9.0,8.0,14.0,10.0,4.0,7.0,16.0,14.0,11.0,9.0,19.0,12.0,7.0,4.0,13.0,13.0,4.0,9.0,9.0,4.0,14.0,11.0,13.0,10.0,9.0,18.0,6.0,14.0,2.0,16.0,11.0,13.0,20.0,18.0,14.0,9.0,19.0,13.0,9.0,12.0,9.0,3.0,22.0,9.0,11.0,6.0,10.0,12.0,9.0,14.0
ɖʰ,15.0,14.0,14.0,18.0,10.0,8.0,17.0,19.0,12.0,21.0,12.0,5.0,13.0,20.0,15.0,15.0,11.0,13.0,16.0,14.0,13.0,10.0,17.0,17.0,7.0,17.0,21.0,13.0,20.0,17.0,20.0,19.0,15.0,15.0,17.0,22.0,10.0,17.0,11.0,7.0,18.0,15.0,10.0,21.0,20.0,12.0,10.0,17.0,17.0,16.0,11.0,17.0,17.0,17.0,16.0,0.0,10.0,11.0,18.0,15.0,17.0,13.0,13.0,15.0,18.0,19.0,17.0,10.0,14.0,21.0,10.0,11.0,16.0,23.0,16.0,7.0,20.0,14.0,18.0,13.0,8.0,11.0,17.0,18.0,9.0,19.0,8.0,13.0,19.0,17.0,15.0,16.0,16.0,21.0,10.0,22.0,13.0,11.0,15.0,17.0,18.0,18.0,7.0,19.0,14.0,20.0,11.0,18.0,18.0,19.0,16.0,18.0,19.0,19.0,11.0,19.0,9.0,19.0,10.0,15.0,13.0,11.0,18.0,15.0,19.0,13.0,13.0,11.0,16.0,16.0,15.0,17.0,14.0,5.0,18.0,8.0,15.0,12.0,14.0,17.0,7.0,14.0,15.0,18.0,9.0,19.0,14.0,17.0,17.0,17.0,15.0,4.0,22.0,17.0,14.0,18.0,23.0,18.0,18.0,15.0,14.0,16.0,14.0,19.0,16.0,15.0,19.0,6.0,14.0,17.0,14.0,23.0,18.0,7.0,15.0,18.0,12.0,13.0,11.0,11.0,14.0,8.0,15.0,20.0,17.0,19.0,18.0,20.0,16.0,13.0,13.0,19.0,20.0,18.0,21.0,14.0,12.0,11.0,13.0,18.0,9.0,12.0,18.0,21.0,17.0,13.0,18.0,3.0,12.0,13.0,9.0,9.0,19.0,13.0,19.0,7.0,20.0,19.0,18.0,20.0,14.0,19.0,15.0,15.0,21.0,12.0,13.0,19.0,13.0,16.0,21.0,20.0,3.0,15.0,12.0,8.0,16.0,17.0,12.0,9.0,8.0,19.0,17.0,13.0,12.0,13.0,14.0,17.0,14.0,14.0,14.0,19.0,13.0,14.0,12.0,15.0,14.0,8.0,17.0,11.0,13.0,8.0,4.0,14.0,4.0,8.0,17.0,13.0,14.0,14.0,19.0,14.0,20.0,12.0,13.0
ŋ,4.0,5.0,5.0,14.0,10.0,14.0,8.0,10.0,10.0,12.0,2.0,11.0,5.0,15.0,18.0,12.0,11.0,8.0,6.0,12.0,2.0,8.0,7.0,8.0,12.0,13.0,10.0,7.0,11.0,8.0,10.0,10.0,10.0,12.0,7.0,13.0,8.0,11.0,2.0,7.0,8.0,5.0,5.0,10.0,9.0,8.0,8.0,7.0,6.0,12.0,7.0,8.0,8.0,8.0,6.0,10.0,0.0,9.0,12.0,6.0,14.0,18.0,11.0,9.0,9.0,9.0,8.0,6.0,11.0,11.0,8.0,8.0,11.0,12.0,7.0,3.0,12.0,13.0,8.0,3.0,5.0,8.0,15.0,13.0,15.0,9.0,8.0,11.0,8.0,9.0,4.0,10.0,5.0,10.0,8.0,12.0,10.0,6.0,13.0,7.0,7.0,9.0,13.0,9.0,5.0,12.0,1.0,8.0,9.0,9.0,9.0,8.0,9.0,16.0,3.0,11.0,15.0,10.0,7.0,13.0,12.0,15.0,15.0,10.0,17.0,8.0,5.0,8.0,10.0,9.0,6.0,14.0,8.0,10.0,8.0,6.0,9.0,8.0,12.0,8.0,3.0,14.0,14.0,9.0,15.0,10.0,11.0,17.0,7.0,13.0,9.0,10.0,17.0,7.0,8.0,7.0,14.0,8.0,11.0,6.0,6.0,12.0,12.0,25.0,7.0,11.0,10.0,10.0,3.0,12.0,12.0,21.0,14.0,9.0,12.0,7.0,7.0,11.0,11.0,4.0,10.0,6.0,6.0,12.0,12.0,10.0,9.0,26.0,11.0,9.0,9.0,10.0,17.0,10.0,27.0,5.0,8.0,8.0,6.0,9.0,5.0,3.0,8.0,12.0,13.0,9.0,10.0,13.0,6.0,11.0,7.0,5.0,9.0,6.0,9.0,15.0,11.0,8.0,9.0,11.0,9.0,14.0,9.0,13.0,10.0,4.0,13.0,14.0,5.0,6.0,11.0,14.0,7.0,10.0,4.0,12.0,11.0,8.0,10.0,6.0,7.0,10.0,8.0,7.0,6.0,13.0,11.0,13.0,10.0,7.0,11.0,11.0,11.0,4.0,9.0,10.0,13.0,13.0,15.0,7.0,8.0,12.0,12.0,5.0,6.0,8.0,9.0,19.0,6.0,6.0,10.0,8.0,11.0,10.0,11.0
